title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Frida,movie,"Biography, Drama, Romance",2002,tt0120679,7.3,99116,
"Sex and Lucía",movie,"Drama, Romance",2001,tt0254455,7,39854,
"Monster's Ball",movie,"Drama, Romance",2001,tt0285742,7,96649,
"First Blood",movie,"Action, Adventure, Thriller",1982,tt0083944,7.7,290676,
"Rambo: First Blood Part II",movie,"Action, Adventure, Thriller",1985,tt0089880,6.5,190362,
"Rambo III",movie,"Action, Adventure, Thriller",1988,tt0095956,5.8,145626,
"Blood Diamond",movie,"Adventure, Drama, Thriller",2006,tt0450259,8,609359,
"Lights in the Dusk",movie,"Crime, Drama",2006,tt0458242,6.8,8527,
"Y tu mamá también",movie,Drama,2001,tt0245574,7.7,135269,
"The Pursuit of Happyness",movie,"Biography, Drama",2006,tt0454921,8,594511,
"Cutthroat Island",movie,"Action, Adventure, Comedy",1995,tt0112760,5.7,32081,
"Sex, Lies, and Videotape",movie,Drama,1989,tt0098724,7.2,62407,
"Pan's Labyrinth",movie,"Drama, Fantasy, War",2006,tt0457430,8.2,727154,
"Take My Eyes",movie,"Drama, Romance",2003,tt0350193,7.4,7742,
"The Departed",movie,"Crime, Drama, Thriller",2006,tt0407887,8.5,1494478,
"Perfume: The Story of a Murderer",movie,"Crime, Drama, Fantasy",2006,tt0396171,7.5,273636,
"Once Upon a Time in Mexico",movie,"Action, Crime, Thriller",2003,tt0285823,6.3,173948,
"Little Children",movie,"Drama, Romance",2006,tt0404203,7.5,119861,
"The Virgin Suicides",movie,"Drama, Romance",1999,tt0159097,7.2,179933,
Hellboy,movie,"Action, Adventure, Fantasy",2004,tt0167190,6.9,362256,
"Miss Congeniality",movie,"Action, Comedy, Crime",2000,tt0212346,6.3,240937,
"Curse of the Golden Flower",movie,"Action, Drama, Romance",2006,tt0473444,7,46830,
"Spy Game",movie,"Action, Crime, Thriller",2001,tt0266987,7.1,172836,
"Changing Lanes",movie,"Drama, Thriller",2002,tt0264472,6.5,76686,
Collateral,movie,"Action, Crime, Drama",2004,tt0369339,7.5,451842,
"The Lost Boys",movie,"Comedy, Horror",1987,tt0093437,7.2,170483,
"Down by Law",movie,"Comedy, Crime, Drama",1986,tt0090967,7.6,57273,
"The Spanish Apartment",movie,"Comedy, Drama, Romance",2002,tt0283900,7.3,43520,
"28 Weeks Later",movie,"Horror, Sci-Fi",2007,tt0463854,6.9,323000,
Chicago,movie,"Comedy, Crime, Musical",2002,tt0299658,7.2,250887,
